Date,Home Team,Away Team,Win or Loss for Celtics,Win or Loss for Warriors,Celtics score,Warriors score,Streak
"Feb 23, 1968 ",Warriors,Celtics,L,W,122,127,Warriors won 1
"Jan 15, 1968 ",Celtics,Warriors,W,L,111,102,Celtics won 1
"Jan 6, 1968 ",Warriors,Celtics,L,W,101,107,Warriors won 2
"Dec 26, 1967 ",Celtics,Warriors,L,W,104,117,Warriors won 1
"Nov 15, 1967 ",Celtics,Warriors,W,L,113,110,Celtics won 2
"Mar 1, 1967 ",Celtics,Warriors,W,L,137,125,Celtics won 1
"Feb 18, 1967 ",None,None,L,W,124,130,Warriors won 2
"Feb 14, 1967 ",None,None,L,W,122,128,Warriors won 1
"Feb 10, 1967 ",Celtics,Warriors,W,L,137,136,Celtics won 2
"Jan 30, 1967 ",None,None,W,L,121,108,Celtics won 1
"Jan 7, 1967 ",Warriors,Celtics,L,W,108,110,Warriors won 1
"Jan 3, 1967 ",Warriors,Celtics,W,L,126,121,Celtics won 4
"Dec 17, 1966 ",Warriors,Celtics,W,L,118,110,Celtics won 3
"Oct 15, 1966 ",Celtics,Warriors,W,L,121,113,Celtics won 2
"Feb 22, 1966 ",Warriors,Celtics,W,L,116,108,Celtics won 1
"Feb 18, 1966 ",Warriors,Celtics,L,W,106,128,Warriors won 1
"Feb 11, 1966 ",Celtics,Warriors,W,L,99,96,Celtics won 1
"Feb 10, 1966 ",None,None,L,W,117,128,Warriors won 1
"Feb 7, 1966 ",None,None,W,L,112,107,Celtics won 13
"Jan 8, 1966 ",Warriors,Celtics,W,L,124,96,Celtics won 12
"Jan 7, 1966 ",Warriors,Celtics,W,L,115,114,Celtics won 11
"Dec 30, 1965 ",None,None,W,L,116,113,Celtics won 10
"Dec 11, 1965 ",Celtics,Warriors,W,L,143,106,Celtics won 9
"Nov 16, 1965 ",Warriors,Celtics,W,L,108,105,Celtics won 8
"Mar 14, 1965 ",Celtics,Warriors,W,L,106,98,Celtics won 7
"Feb 26, 1965 ",Warriors,Celtics,W,L,130,112,Celtics won 6
"Feb 20, 1965 ",Warriors,Celtics,W,L,114,108,Celtics won 5
"Jan 22, 1965 ",Celtics,Warriors,W,L,104,94,Celtics won 4
"Jan 8, 1965 ",Warriors,Celtics,W,L,94,91,Celtics won 3
"Dec 16, 1964 ",Celtics,Warriors,W,L,107,106,Celtics won 2
"Dec 5, 1964 ",Warriors,Celtics,W,L,105,81,Celtics won 1
